[02:10:04] === bench-spark run ===
[02:10:04] Profile: dense-31b
[02:10:04] Tests:   A B C D E F G H I J
[02:10:04] Results: /home/eugene/benchmarks/bench-spark/results/gemma-4-31b-it/bf16
[02:10:04] ── START A ──
[04:14:45]     ... B running: 1862s, GPU 96%
[04:15:45]     ... B running: 1922s, GPU 96%
[04:16:45]     ... B running: 1982s, GPU 96%
[04:17:45]     ... B running: 2042s, GPU 96%
[04:18:45]     ... B running: 2102s, GPU 96%
[04:19:45]     ... B running: 2162s, GPU 96%
[04:20:45]     ... B running: 2222s, GPU 96%
[04:21:45]     ... B running: 2282s, GPU 96%
[04:22:45]     ... B running: 2342s, GPU 96%
[04:23:45]     ... B running: 2402s, GPU 96%
[04:24:45]     ... B running: 2462s, GPU 96%
[04:25:45]     ... B running: 2522s, GPU 96%
[04:26:45]     ... B running: 2582s, GPU 96%
[04:27:45]     ... B running: 2642s, GPU 96%
[04:28:45]     ... B running: 2702s, GPU 96%
[04:29:45]     ... B running: 2762s, GPU 96%
[04:30:45]     ... B running: 2822s, GPU 96%
[04:31:45]     ... B running: 2882s, GPU 96%
[04:32:45]     ... B running: 2942s, GPU 96%
[04:33:45]     ... B running: 3002s, GPU 96%
[04:34:45]     ... B running: 3062s, GPU 96%
[04:35:45]     ... B running: 3122s, GPU 96%
[04:36:45]     ... B running: 3182s, GPU 96%
[04:37:46]     ... B running: 3243s, GPU 96%
[04:38:46]     ... B running: 3303s, GPU 96%
[04:39:46]     ... B running: 3363s, GPU 96%
[04:40:46]     ... B running: 3423s, GPU 96%
[04:41:46]     ... B running: 3483s, GPU 96%
[04:42:46]     ... B running: 3543s, GPU 96%
[04:43:46]     ... B running: 3603s, GPU 96%
[04:44:46]     ... B running: 3663s, GPU 96%
[04:45:46]     ... B running: 3723s, GPU 96%
[04:46:46]     ... B running: 3783s, GPU 96%
[04:47:46]     ... B running: 3843s, GPU 96%
[04:48:46]     ... B running: 3903s, GPU 96%
[04:49:46]     ... B running: 3963s, GPU 96%
[04:50:46]     ... B running: 4023s, GPU 96%
[04:51:46]     ... B running: 4083s, GPU 96%
[04:52:46]     ... B running: 4143s, GPU 96%
[04:52:51] ── END B (4148s) ──
[04:52:51] ── START C ──
[04:53:51]     ... C running: 60s, GPU 96%
[04:54:51]     ... C running: 120s, GPU 96%
[04:55:51]     ... C running: 180s, GPU 96%
[04:56:51]     ... C running: 240s, GPU 96%
[04:57:51]     ... C running: 300s, GPU 96%
[04:58:51]     ... C running: 360s, GPU 96%
