elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,99.93,76,2320,96,122269
20,97.45,78,2327,96,122231
30,95.99,80,2307,96,122228
40,92.93,81,2405,96,122226
50,92.82,81,2333,96,122217
60,90.08,81,2431,96,122214
70,42.97,73,2457,96,122221
80,42.23,70,2470,96,122221
90,41.40,69,2470,96,122222
100,41.10,67,2470,96,122221
110,40.88,66,2470,96,122222
120,72.65,74,2320,56,122220
130,99.21,75,2327,96,122212
140,97.05,78,2314,96,122210
151,95.87,79,2353,96,122212
161,94.05,79,2333,96,122221
171,93.66,79,2372,96,122226
181,88.62,79,2418,96,122228
191,42.50,71,2470,96,122238
201,41.82,69,2470,96,122241
211,41.17,68,2470,96,122237
221,40.93,67,2476,96,122235
231,40.75,66,2470,96,122235
241,99.04,75,2320,96,122235
251,98.04,76,2320,96,122223
261,96.67,77,2307,96,122225
271,97.55,79,2320,96,122235
281,93.14,80,2346,96,122244
291,89.31,80,2437,96,122238
301,90.33,79,2385,96,122234
311,42.37,70,2470,96,122221
321,41.74,69,2470,96,122226
332,41.17,67,2470,96,122221
342,40.88,66,2470,96,122223
352,41.42,66,2489,96,122221
362,99.68,75,2333,96,122222
372,96.44,77,2307,96,122232
382,96.75,78,2307,96,122232
392,95.50,78,2314,96,122238
402,95.16,80,2340,96,122230
412,87.93,79,2418,96,122223
422,42.79,72,2457,96,122243
432,42.13,70,2470,96,122239
442,41.31,68,2470,96,122250
452,41.07,67,2470,96,122246
462,40.84,66,2470,96,122239
472,40.87,65,2496,96,122239
