elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,42.23,68,2496,96,119756
20,42.05,68,2496,96,119719
31,41.18,68,2496,96,119723
41,42.37,70,2496,96,119734
51,42.24,69,2496,96,119736
61,42.19,69,2496,96,119745
71,73.63,71,2320,96,119765
81,42.38,69,2496,96,119754
91,42.43,69,2496,96,119755
101,66.53,77,2405,32,119779
111,42.49,70,2496,96,119777
121,42.44,69,2496,96,119774
131,91.12,78,2236,96,119792
141,44.05,71,2496,96,119799
151,43.71,71,2496,96,119795
161,43.67,70,2496,96,119794
171,91.10,78,2197,96,119802
181,44.00,72,2470,96,119809
192,44.04,71,2496,96,119820
202,43.77,71,2496,96,119823
212,91.09,78,2210,96,119820
222,44.11,73,2470,96,119840
232,43.68,72,2470,96,119836
242,43.83,71,2496,96,119838
252,92.36,79,2236,96,119849
262,44.17,73,2470,96,119854
272,43.86,72,2470,96,119848
282,43.82,71,2496,96,119845
292,85.78,78,2307,96,119859
302,91.45,80,2216,96,119849
312,56.12,75,2470,96,119841
322,46.68,73,2470,96,119843
332,46.41,71,2496,96,119844
342,46.19,70,2496,96,119840
352,45.91,69,2496,96,119842
363,92.18,78,2229,96,119862
373,91.51,79,2236,96,119865
383,46.20,71,2470,96,119874
393,46.12,70,2496,96,119869
403,45.88,69,2496,96,119872
413,45.66,69,2496,96,119874
423,92.30,77,2223,96,119886
433,92.00,78,2229,96,119892
443,46.14,71,2470,96,119904
453,46.00,70,2496,96,119895
463,45.81,69,2496,96,119897
473,45.57,68,2496,96,119899
483,76.05,74,2236,96,119927
493,92.63,77,2229,96,119925
503,51.38,72,2470,71,119924
513,46.08,70,2496,96,119928
523,45.75,69,2496,96,119922
534,45.39,68,2496,96,119914
544,45.05,68,2496,96,119915
