[01:57:16] === bench-spark run ===
[01:57:16] Profile: nemotron-3-super-120b-a12b-nvfp4
[01:57:16] Tests:   A B C D E F G H I J
[01:57:16] Results: /home/spark/benchmarks/bench-spark/results/nemotron-3-super-120b-a12b/nvfp4
[04:00:27]     ... F running: 721s, GPU 96%
[04:01:27]     ... F running: 781s, GPU 95%
[04:02:27]     ... F running: 841s, GPU 96%
[04:03:27]     ... F running: 901s, GPU 96%
[04:04:27]     ... F running: 961s, GPU 96%
[04:05:27]     ... F running: 1021s, GPU 96%
[04:05:43] ── END F (1037s) ──
[04:05:43] ── START G ──
[04:06:43]     ... G running: 60s, GPU 96%
[04:07:43]     ... G running: 120s, GPU 95%
[04:08:43]     ... G running: 180s, GPU 96%
[04:09:43]     ... G running: 240s, GPU 96%
[04:10:43]     ... G running: 300s, GPU 96%
[04:11:43]     ... G running: 360s, GPU 96%
[04:12:43]     ... G running: 420s, GPU 96%
[04:13:43]     ... G running: 480s, GPU 96%
[04:14:43]     ... G running: 540s, GPU 96%
[04:15:43]     ... G running: 600s, GPU 96%
[04:16:44]     ... G running: 661s, GPU 96%
[04:17:44]     ... G running: 721s, GPU 96%
[04:18:44]     ... G running: 781s, GPU 96%
[04:19:44]     ... G running: 841s, GPU 96%
[04:20:44]     ... G running: 901s, GPU 96%
[04:21:44]     ... G running: 961s, GPU 96%
[04:22:44]     ... G running: 1021s, GPU 96%
[04:23:44]     ... G running: 1081s, GPU 96%
[04:24:44]     ... G running: 1141s, GPU 96%
[04:25:44]     ... G running: 1201s, GPU 96%
[04:26:44]     ... G running: 1261s, GPU 96%
[04:26:46] ── END G (1263s) ──
[04:26:46] ── START H ──
[04:27:46]     ... H running: 60s, GPU 96%
[04:28:46]     ... H running: 120s, GPU 96%
[04:29:46]     ... H running: 180s, GPU 96%
[04:30:46]     ... H running: 240s, GPU 96%
[04:31:46]     ... H running: 300s, GPU 96%
[04:32:46]     ... H running: 360s, GPU 96%
[04:33:46]     ... H running: 420s, GPU 96%
[04:34:46]     ... H running: 480s, GPU 96%
