elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,85.44,71,2450,96,123011
20,87.06,75,2437,96,122970
30,91.06,78,2424,96,122965
40,83.73,74,2437,96,122965
50,77.16,76,2463,96,122970
60,82.25,78,2444,96,122971
71,78.99,74,2444,96,122980
81,81.69,78,2450,96,122985
91,78.91,74,2450,96,122972
101,84.16,74,2437,96,122983
111,49.97,71,2496,96,122982
121,49.69,70,2496,96,122974
131,85.31,71,2444,96,122975
141,86.23,77,2444,96,122976
151,85.09,77,2437,96,122971
161,90.22,79,2444,96,122972
171,90.20,74,2411,96,122974
181,84.08,76,2431,96,122975
191,85.71,78,2392,96,122977
201,81.04,78,2444,96,122974
211,78.38,74,2437,96,122977
221,82.44,80,2444,96,122976
231,78.83,74,2437,96,122981
241,49.96,71,2496,96,122960
251,42.29,68,2496,96,122960
261,78.53,73,2450,96,122969
271,83.95,79,2444,96,122970
281,84.75,73,2431,96,122972
291,87.99,79,2431,96,122980
301,91.75,77,2431,96,122977
312,84.98,79,2444,96,122978
322,82.00,78,2431,96,122981
332,84.97,80,2444,96,122982
342,77.94,80,2463,96,122983
352,82.34,75,2450,96,122987
362,49.94,72,2470,96,122984
372,49.75,70,2496,96,122985
382,81.11,76,2450,96,122978
392,83.49,73,2437,96,122985
402,85.80,74,2437,96,122984
412,90.23,74,2437,96,122985
422,87.13,78,2431,96,122977
432,86.45,75,2418,96,122978
442,91.07,80,2418,96,122982
452,82.36,74,2437,96,122972
462,75.98,75,2457,96,122975
472,80.49,77,2437,96,122975
482,79.56,79,2457,96,122965
492,49.97,71,2496,96,122957
502,41.35,68,2496,96,122963
