elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,14.81,59,2411,0,117980
20,52.23,68,2463,96,117918
30,55.13,67,2496,95,118345
40,45.81,67,2496,96,117984
50,71.96,73,2444,96,118102
60,51.40,69,2489,96,118178
70,59.83,69,2489,96,118056
80,56.99,69,2496,96,117967
90,44.75,70,2496,96,118181
100,55.21,73,2444,96,118232
110,55.03,76,2463,96,118110
120,53.42,71,2463,96,117866
130,55.33,71,2476,96,117819
140,57.28,72,2450,96,117939
150,51.98,71,2470,96,117865
161,47.91,72,2470,96,117922
171,54.80,72,2463,96,117980
181,52.58,73,2463,96,117901
191,61.61,72,2470,96,117950
201,57.41,72,2457,96,117959
211,58.32,73,2444,96,118083
221,66.94,73,2444,96,117899
231,62.81,77,2450,96,118009
241,63.22,73,2463,96,118051
251,44.73,73,2470,96,117962
261,42.04,71,2489,96,118011
