elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,40.01,65,2476,96,120523
20,40.04,65,2476,96,120487
30,40.04,65,2476,96,120490
40,40.02,65,2476,96,120489
50,40.02,65,2476,96,120495
60,41.92,65,2496,96,120499
70,41.97,66,2496,96,120522
81,39.80,65,2496,96,120516
91,42.03,66,2496,96,120533
101,39.20,65,2496,96,120545
111,66.45,70,2418,95,120553
121,45.01,67,2496,96,120551
131,45.21,67,2496,96,120568
141,45.42,67,2496,96,120563
151,45.31,68,2496,96,120575
161,72.87,74,2418,95,120577
171,45.28,68,2496,96,120569
