[17:55:20] === bench-spark run ===
[17:55:20] Profile: qwen3.6-27b-fp8
[17:55:20] Tests:   01 02 03 04 05 06 07 08 09 10 11
[17:55:20] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.6-27b/fp8
[17:55:24] Sanity-check op modeloutput...
[17:55:57] SANITY: OK, model antwoordt: 1, 2, 3, 4, 5 In het Nederlands We need to count from 1 to 5 in Dutch.
[17:55:57] ── START 01 ──
[19:05:15]     ... 02 running: 2401s, GPU 96%, 64.00W, 77C, 2470MHz
[19:06:16]     ... 02 running: 2462s, GPU 96%, 63.72W, 78C, 2470MHz
[19:07:16]     ... 02 running: 2522s, GPU 96%, 63.49W, 79C, 2470MHz
[19:08:17]     ... 02 running: 2583s, GPU 96%, 45.42W, 73C, 2470MHz
[19:09:18]     ... 02 running: 2644s, GPU 96%, 44.71W, 70C, 2496MHz
[19:09:31] ── END 02 (2657s) ──
[19:09:31] ── START 03 ──
[19:10:31]     ... 03 running: 60s, GPU 96%, 37.83W, 66C, 2496MHz
[19:11:32]     ... 03 running: 121s, GPU 96%, 38.30W, 68C, 2496MHz
[19:12:32]     ... 03 running: 181s, GPU 96%, 39.13W, 71C, 2496MHz
[19:13:33]     ... 03 running: 242s, GPU 96%, 39.33W, 72C, 2470MHz
[19:14:33]     ... 03 running: 302s, GPU 96%, 39.62W, 73C, 2470MHz
[19:15:33]     ... 03 running: 362s, GPU 96%, 39.73W, 74C, 2470MHz
[19:16:34]     ... 03 running: 423s, GPU 96%, 39.54W, 73C, 2470MHz
[19:17:34]     ... 03 running: 483s, GPU 96%, 39.15W, 71C, 2496MHz
[19:18:35]     ... 03 running: 544s, GPU 96%, 38.97W, 70C, 2496MHz
[19:19:35]     ... 03 running: 604s, GPU 96%, 38.86W, 70C, 2496MHz
[19:20:36]     ... 03 running: 665s, GPU 96%, 38.80W, 69C, 2496MHz
[19:21:36]     ... 03 running: 725s, GPU 96%, 38.74W, 69C, 2496MHz
[19:22:37]     ... 03 running: 786s, GPU 96%, 38.43W, 70C, 2496MHz
[19:23:37]     ... 03 running: 846s, GPU 96%, 38.66W, 69C, 2496MHz
[19:24:37]     ... 03 running: 906s, GPU 96%, 38.62W, 69C, 2496MHz
[19:25:38]     ... 03 running: 967s, GPU 96%, 38.48W, 69C, 2496MHz
[19:26:38]     ... 03 running: 1027s, GPU 96%, 38.48W, 68C, 2496MHz
[19:27:39]     ... 03 running: 1088s, GPU 96%, 38.49W, 68C, 2496MHz
[19:28:39]     ... 03 running: 1148s, GPU 96%, 38.44W, 68C, 2496MHz
[19:29:40]     ... 03 running: 1209s, GPU 96%, 38.46W, 68C, 2496MHz
[19:30:40]     ... 03 running: 1269s, GPU 96%, 38.43W, 68C, 2496MHz
[19:31:40]     ... 03 running: 1329s, GPU 96%, 38.38W, 68C, 2496MHz
[19:32:31]     ... 03 running: 1380s, GPU 96%, 38.35W, 68C, 2496MHz
[19:33:31]     ... 03 running: 1440s, GPU 96%, 38.24W, 68C, 2496MHz
[19:34:32]     ... 03 running: 1501s, GPU 96%, 38.38W, 68C, 2496MHz
[19:35:32]     ... 03 running: 1561s, GPU 96%, 38.30W, 68C, 2496MHz
[19:36:33]     ... 03 running: 1622s, GPU 96%, 37.87W, 68C, 2489MHz
[19:37:33]     ... 03 running: 1682s, GPU 96%, 37.80W, 68C, 2489MHz
[19:38:33]     ... 03 running: 1742s, GPU 96%, 37.79W, 68C, 2489MHz
[19:39:34]     ... 03 running: 1803s, GPU 96%, 37.33W, 67C, 2489MHz
[19:40:34]     ... 03 running: 1863s, GPU 96%, 37.19W, 67C, 2489MHz
[19:41:35]     ... 03 running: 1924s, GPU 96%, 37.16W, 67C, 2489MHz
[19:42:35]     ... 03 running: 1984s, GPU 96%, 38.25W, 67C, 2496MHz
[19:43:36]     ... 03 running: 2045s, GPU 96%, 38.13W, 67C, 2496MHz
[19:44:36]     ... 03 running: 2105s, GPU 96%, 38.22W, 68C, 2496MHz
[19:45:36]     ... 03 running: 2165s, GPU 96%, 37.67W, 67C, 2489MHz
[19:46:37]     ... 03 running: 2226s, GPU 96%, 37.74W, 67C, 2489MHz
[19:47:37]     ... 03 running: 2286s, GPU 96%, 37.65W, 67C, 2489MHz
[19:48:38]     ... 03 running: 2347s, GPU 96%, 37.24W, 67C, 2489MHz
[19:49:38]     ... 03 running: 2407s, GPU 96%, 37.15W, 67C, 2489MHz
[19:50:39]     ... 03 running: 2468s, GPU 96%, 37.19W, 67C, 2489MHz
[19:51:39]     ... 03 running: 2528s, GPU 96%, 37.14W, 67C, 2489MHz
[19:52:40]     ... 03 running: 2589s, GPU 96%, 37.03W, 67C, 2489MHz
[19:53:40]     ... 03 running: 2649s, GPU 96%, 37.01W, 66C, 2489MHz
[19:54:40]     ... 03 running: 2709s, GPU 96%, 37.45W, 67C, 2489MHz
[19:55:31]     ... 03 running: 2760s, GPU 96%, 37.48W, 67C, 2489MHz
[19:56:31]     ... 03 running: 2820s, GPU 96%, 37.10W, 66C, 2489MHz
[19:57:32]     ... 03 running: 2881s, GPU 96%, 37.09W, 66C, 2489MHz
[19:58:32]     ... 03 running: 2941s, GPU 96%, 37.12W, 66C, 2489MHz
[19:59:33]     ... 03 running: 3002s, GPU 96%, 36.90W, 66C, 2489MHz
[20:00:33]     ... 03 running: 3062s, GPU 96%, 37.50W, 67C, 2489MHz
[20:01:33]     ... 03 running: 3122s, GPU 96%, 37.48W, 67C, 2489MHz
[20:02:34]     ... 03 running: 3183s, GPU 96%, 36.90W, 66C, 2489MHz
[20:03:34]     ... 03 running: 3243s, GPU 96%, 37.94W, 67C, 2496MHz
[20:04:35]     ... 03 running: 3304s, GPU 96%, 38.06W, 67C, 2496MHz
[20:05:35]     ... 03 running: 3364s, GPU 96%, 38.01W, 67C, 2496MHz
[20:06:36]     ... 03 running: 3425s, GPU 96%, 38.02W, 67C, 2496MHz
[20:07:36]     ... 03 running: 3485s, GPU 96%, 38.01W, 67C, 2496MHz
[20:08:37]     ... 03 running: 3546s, GPU 96%, 38.07W, 67C, 2496MHz
[20:09:37]     ... 03 running: 3606s, GPU 96%, 40.32W, 68C, 2489MHz
[20:10:37]     ... 03 running: 3666s, GPU 96%, 40.36W, 68C, 2489MHz
[20:11:38]     ... 03 running: 3727s, GPU 96%, 37.89W, 67C, 2489MHz
[20:12:38]     ... 03 running: 3787s, GPU 96%, 37.69W, 67C, 2489MHz
[20:13:39]     ... 03 running: 3848s, GPU 96%, 37.61W, 67C, 2489MHz
[20:14:39]     ... 03 running: 3908s, GPU 96%, 37.07W, 66C, 2489MHz
[20:15:40]     ... 03 running: 3969s, GPU 96%, 37.10W, 66C, 2489MHz
[20:16:40]     ... 03 running: 4029s, GPU 96%, 37.99W, 66C, 2496MHz
[20:18:31]     ... 03 running: 4140s, GPU 96%, 40.37W, 68C, 2489MHz
[20:19:31]     ... 03 running: 4200s, GPU 96%, 40.41W, 68C, 2489MHz
[20:20:32]     ... 03 running: 4261s, GPU 96%, 40.40W, 68C, 2489MHz
[20:21:32]     ... 03 running: 4321s, GPU 96%, 40.43W, 68C, 2489MHz
[20:22:33]     ... 03 running: 4382s, GPU 96%, 37.92W, 68C, 2496MHz
[20:23:33]     ... 03 running: 4442s, GPU 96%, 37.89W, 67C, 2489MHz
[20:24:34]     ... 03 running: 4503s, GPU 96%, 37.90W, 67C, 2489MHz
[20:25:34]     ... 03 running: 4563s, GPU 96%, 37.29W, 67C, 2489MHz
[20:26:35]     ... 03 running: 4624s, GPU 96%, 37.06W, 66C, 2489MHz
[20:27:35]     ... 03 running: 4684s, GPU 96%, 40.24W, 68C, 2489MHz
[20:28:35]     ... 03 running: 4744s, GPU 96%, 40.17W, 68C, 2489MHz
[20:29:36]     ... 03 running: 4805s, GPU 96%, 40.31W, 68C, 2489MHz
[20:30:36]     ... 03 running: 4865s, GPU 96%, 37.72W, 67C, 2489MHz
[20:31:37]     ... 03 running: 4926s, GPU 96%, 37.69W, 67C, 2489MHz
[20:32:37]     ... 03 running: 4986s, GPU 96%, 37.50W, 66C, 2489MHz
