[19:58:53] === bench-spark run ===
[19:58:53] Profile: qwen3.6-27b-bf16
[19:58:53] Tests:   01 02 03 04 05 06 07 08 09 10 11
[19:58:53] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.6-27b/bf16
[19:58:59] Sanity-check op modeloutput...
[19:59:55] SANITY: OK, model antwoordt: 1. één 2. twee 3. drie 4. vier 5. vijf We need to count from 1 to 5 in
[19:59:55] ── START 01 ──
[21:09:08]     ... 02 running: 1207s, GPU 96%, 41.65W, 66C, 2489MHz
[21:10:09]     ... 02 running: 1268s, GPU 96%, 89.61W, 81C, 2411MHz
[21:11:09]     ... 02 running: 1328s, GPU 96%, 43.07W, 70C, 2489MHz
[21:12:09]     ... 02 running: 1388s, GPU 96%, 41.98W, 67C, 2489MHz
[21:13:10]     ... 02 running: 1449s, GPU 96%, 89.36W, 79C, 2437MHz
[21:14:10]     ... 02 running: 1509s, GPU 96%, 86.13W, 83C, 2392MHz
[21:15:10]     ... 02 running: 1569s, GPU 96%, 54.29W, 78C, 2470MHz
[21:16:01]     ... 02 running: 1620s, GPU 96%, 52.37W, 73C, 2470MHz
[21:17:01]     ... 02 running: 1680s, GPU 96%, 51.94W, 71C, 2470MHz
[21:18:01]     ... 02 running: 1740s, GPU 96%, 90.91W, 78C, 2457MHz
[21:19:02]     ... 02 running: 1801s, GPU 96%, 87.72W, 83C, 2411MHz
[21:20:02]     ... 02 running: 1861s, GPU 96%, 87.00W, 84C, 2405MHz
[21:21:02]     ... 02 running: 1921s, GPU 96%, 52.34W, 73C, 2470MHz
[21:22:03]     ... 02 running: 1982s, GPU 96%, 51.74W, 71C, 2489MHz
[21:23:03]     ... 02 running: 2042s, GPU 96%, 90.78W, 74C, 2457MHz
[21:24:04]     ... 02 running: 2103s, GPU 96%, 87.39W, 83C, 2411MHz
[21:25:04]     ... 02 running: 2163s, GPU 96%, 86.94W, 84C, 2405MHz
[21:26:04]     ... 02 running: 2223s, GPU 96%, 52.44W, 73C, 2470MHz
[21:27:05]     ... 02 running: 2284s, GPU 96%, 51.71W, 71C, 2470MHz
[21:28:05]     ... 02 running: 2344s, GPU 96%, 84.49W, 76C, 2450MHz
[21:29:05]     ... 02 running: 2404s, GPU 96%, 85.99W, 83C, 2398MHz
[21:30:06]     ... 02 running: 2465s, GPU 96%, 86.06W, 84C, 2398MHz
[21:31:06]     ... 02 running: 2525s, GPU 96%, 52.46W, 74C, 2470MHz
[21:32:06]     ... 02 running: 2585s, GPU 96%, 51.99W, 71C, 2489MHz
[21:33:07]     ... 02 running: 2646s, GPU 96%, 38.18W, 67C, 2489MHz
[21:33:09] ── END 02 (2648s) ──
[21:33:09] ── START 03 ──
[21:34:09]     ... 03 running: 60s, GPU 96%, 50.68W, 69C, 2496MHz
[21:35:09]     ... 03 running: 120s, GPU 96%, 50.52W, 69C, 2496MHz
[21:36:10]     ... 03 running: 181s, GPU 96%, 50.57W, 68C, 2496MHz
[21:37:10]     ... 03 running: 241s, GPU 96%, 50.48W, 69C, 2496MHz
[21:38:10]     ... 03 running: 301s, GPU 96%, 50.38W, 68C, 2496MHz
[21:39:11]     ... 03 running: 362s, GPU 96%, 50.32W, 68C, 2496MHz
[21:40:11]     ... 03 running: 422s, GPU 96%, 50.40W, 68C, 2496MHz
[21:41:12]     ... 03 running: 483s, GPU 96%, 50.26W, 68C, 2496MHz
[21:42:12]     ... 03 running: 543s, GPU 96%, 50.40W, 68C, 2496MHz
[21:43:12]     ... 03 running: 603s, GPU 96%, 50.34W, 68C, 2496MHz
[21:44:13]     ... 03 running: 664s, GPU 96%, 50.18W, 68C, 2496MHz
[21:45:13]     ... 03 running: 724s, GPU 96%, 50.20W, 68C, 2496MHz
[21:46:13]     ... 03 running: 784s, GPU 96%, 50.21W, 68C, 2496MHz
[21:47:14]     ... 03 running: 845s, GPU 96%, 50.13W, 68C, 2496MHz
