[11:00:42] === bench-spark run ===
[11:00:42] Profile: qwen3.6-35b-a3b-bf16
[11:00:42] Tests:   A B C D E F G H I J
[11:00:42] Results: /home/spark/benchmarks/bench-spark/results/qwen3.6-35b-a3b/bf16
[13:03:04]     ... G running: 1501s, GPU 96%
[13:04:05]     ... G running: 1562s, GPU 96%
[13:05:05]     ... G running: 1622s, GPU 96%
[13:06:05]     ... G running: 1682s, GPU 96%
[13:07:05]     ... G running: 1742s, GPU 96%
[13:08:05]     ... G running: 1802s, GPU 96%
[13:09:05]     ... G running: 1862s, GPU 96%
[13:10:05]     ... G running: 1922s, GPU 96%
[13:10:06] ── END G (1923s) ──
[13:10:06] ── START H ──
[13:11:06]     ... H running: 60s, GPU 96%
[13:12:06]     ... H running: 120s, GPU 96%
[13:13:06]     ... H running: 180s, GPU 96%
[13:14:06]     ... H running: 240s, GPU 96%
[13:15:06]     ... H running: 300s, GPU 96%
[13:16:06]     ... H running: 360s, GPU 96%
[13:17:06]     ... H running: 420s, GPU 96%
[13:18:06]     ... H running: 480s, GPU 96%
[13:19:06]     ... H running: 540s, GPU 96%
[13:20:06]     ... H running: 600s, GPU 96%
[13:21:06]     ... H running: 660s, GPU 96%
[13:22:06]     ... H running: 720s, GPU 96%
[13:23:06]     ... H running: 780s, GPU 96%
[13:23:42] ── END H (816s) ──
[13:23:42] ── START I ──
[13:23:42] Kopieer ShareGPT naar container...
[13:24:42]     ... I running: 60s, GPU 96%
[13:25:42]     ... I running: 120s, GPU 96%
[13:26:43]     ... I running: 181s, GPU 96%
[13:27:43]     ... I running: 241s, GPU 96%
[13:28:43]     ... I running: 301s, GPU 96%
[13:29:43]     ... I running: 361s, GPU 96%
[13:30:43]     ... I running: 421s, GPU 96%
[13:31:43]     ... I running: 481s, GPU 96%
[13:32:43]     ... I running: 541s, GPU 96%
[13:33:43]     ... I running: 601s, GPU 96%
[13:34:43]     ... I running: 661s, GPU 96%
[13:35:43]     ... I running: 721s, GPU 96%
[13:36:43]     ... I running: 781s, GPU 0%
[13:37:43]     ... I running: 841s, GPU 96%
[13:37:59] ── END I (857s) ──
[13:37:59] ── START J ──
[13:38:59]     ... J running: 60s, GPU 96%
[13:39:59]     ... J running: 120s, GPU 96%
[13:40:59]     ... J running: 180s, GPU 96%
[13:41:59]     ... J running: 240s, GPU 96%
[13:42:59]     ... J running: 300s, GPU 96%
[13:43:59]     ... J running: 360s, GPU 96%
[13:44:59]     ... J running: 420s, GPU 96%
[13:45:59]     ... J running: 480s, GPU 96%
[13:46:59]     ... J running: 540s, GPU 96%
[13:47:59]     ... J running: 600s, GPU 96%
[13:48:59]     ... J running: 660s, GPU 96%
[13:49:59]     ... J running: 720s, GPU 96%
[13:50:59]     ... J running: 780s, GPU 96%
[13:51:59]     ... J running: 840s, GPU 96%
[13:52:59]     ... J running: 900s, GPU 96%
[13:54:00]     ... J running: 961s, GPU 96%
[13:55:00]     ... J running: 1021s, GPU 96%
[13:56:00]     ... J running: 1081s, GPU 96%
[13:57:00]     ... J running: 1141s, GPU 96%
[13:58:00]     ... J running: 1201s, GPU 96%
[13:59:00]     ... J running: 1261s, GPU 96%
[14:00:00]     ... J running: 1321s, GPU 96%
[14:01:00]     ... J running: 1381s, GPU 96%
[14:01:52] ── END J (1433s) ──
[14:01:52] === klaar (10870s = 181m) ===
