elapsed_s,power_w,temp_c,sm_mhz,gpu_util,mem_used_mb
10,46.75,71,2483,96,123280
20,46.66,70,2483,96,123262
30,46.54,70,2483,96,123259
40,46.43,70,2483,96,123261
50,46.44,70,2483,96,123263
60,38.26,68,2483,96,123265
70,38.12,67,2483,96,123266
80,42.99,67,2483,96,123268
91,36.13,66,2483,96,123271
101,36.39,66,2483,96,123267
111,40.62,67,2483,96,123271
121,45.53,67,2483,96,123267
131,38.48,66,2489,96,123260
141,40.66,66,2483,96,123275
151,45.43,67,2476,96,123258
161,38.30,66,2489,96,123252
171,45.45,67,2483,96,123248
