[22:47:23] === bench-spark run ===
[22:47:23] Profile: dense-31b
[22:47:23] Tests:   A B C D E F G H I J
[22:47:23] Results: /home/spark/benchmarks/bench-spark/results/gemma-4-31b-it/no-prefix-cache
[22:47:23] ── START A ──
[00:52:24]     ... B running: 1921s, GPU 96%
[00:53:25]     ... B running: 1982s, GPU 96%
[00:54:25]     ... B running: 2042s, GPU 96%
[00:55:25]     ... B running: 2102s, GPU 96%
[00:56:25]     ... B running: 2162s, GPU 96%
[00:57:25]     ... B running: 2222s, GPU 96%
[00:58:25]     ... B running: 2282s, GPU 96%
[00:59:25]     ... B running: 2342s, GPU 96%
[01:00:25]     ... B running: 2402s, GPU 96%
[01:01:25]     ... B running: 2462s, GPU 96%
[01:02:25]     ... B running: 2522s, GPU 96%
[01:03:25]     ... B running: 2582s, GPU 96%
[01:04:25]     ... B running: 2642s, GPU 96%
[01:05:25]     ... B running: 2702s, GPU 96%
[01:06:25]     ... B running: 2762s, GPU 96%
[01:07:25]     ... B running: 2822s, GPU 96%
[01:08:25]     ... B running: 2882s, GPU 96%
[01:09:25]     ... B running: 2942s, GPU 96%
[01:10:25]     ... B running: 3002s, GPU 96%
[01:11:25]     ... B running: 3062s, GPU 96%
[01:12:25]     ... B running: 3122s, GPU 96%
[01:13:25]     ... B running: 3182s, GPU 96%
[01:14:25]     ... B running: 3242s, GPU 96%
[01:15:25]     ... B running: 3302s, GPU 96%
[01:16:25]     ... B running: 3362s, GPU 96%
[01:17:25]     ... B running: 3422s, GPU 96%
[01:18:25]     ... B running: 3482s, GPU 96%
[01:19:25]     ... B running: 3542s, GPU 96%
[01:20:25]     ... B running: 3602s, GPU 96%
[01:21:25]     ... B running: 3662s, GPU 96%
[01:22:25]     ... B running: 3722s, GPU 96%
[01:23:26]     ... B running: 3783s, GPU 96%
[01:24:26]     ... B running: 3843s, GPU 96%
[01:25:26]     ... B running: 3903s, GPU 96%
[01:26:26]     ... B running: 3963s, GPU 96%
[01:27:26]     ... B running: 4023s, GPU 96%
[01:28:26]     ... B running: 4083s, GPU 96%
[01:29:14] ── END B (4131s) ──
[01:29:14] ── START C ──
[01:30:14]     ... C running: 60s, GPU 96%
[01:31:14]     ... C running: 120s, GPU 96%
[01:32:14]     ... C running: 180s, GPU 96%
[01:33:14]     ... C running: 240s, GPU 96%
[01:34:14]     ... C running: 300s, GPU 96%
[01:35:14]     ... C running: 360s, GPU 96%
[01:36:14]     ... C running: 420s, GPU 96%
[01:37:14]     ... C running: 480s, GPU 96%
[01:38:14]     ... C running: 540s, GPU 96%
[01:39:14]     ... C running: 600s, GPU 96%
[01:40:14]     ... C running: 660s, GPU 96%
[01:41:14]     ... C running: 720s, GPU 96%
[01:42:14]     ... C running: 780s, GPU 96%
[01:43:14]     ... C running: 840s, GPU 96%
[01:44:15]     ... C running: 901s, GPU 96%
[01:45:15]     ... C running: 961s, GPU 96%
[01:46:15]     ... C running: 1021s, GPU 96%
[01:47:15]     ... C running: 1081s, GPU 96%
[01:48:15]     ... C running: 1141s, GPU 96%
[01:49:15]     ... C running: 1201s, GPU 96%
[01:50:15]     ... C running: 1261s, GPU 96%
[01:51:06] ── END C (1312s) ──
[01:51:06] ── START D ──
[01:52:06]     ... D running: 60s, GPU 96%
[01:53:06]     ... D running: 120s, GPU 96%
[01:54:06]     ... D running: 180s, GPU 96%
[01:55:06]     ... D running: 240s, GPU 96%
[01:56:06]     ... D running: 300s, GPU 96%
[01:57:06]     ... D running: 360s, GPU 96%
[01:58:06]     ... D running: 420s, GPU 96%
[01:59:06]     ... D running: 480s, GPU 96%
[02:00:06]     ... D running: 540s, GPU 96%
[02:01:06]     ... D running: 600s, GPU 96%
[02:02:06]     ... D running: 660s, GPU 96%
[02:03:06]     ... D running: 720s, GPU 96%
[02:04:07]     ... D running: 781s, GPU 96%
[02:05:07]     ... D running: 841s, GPU 96%
[02:06:07]     ... D running: 901s, GPU 96%
[02:07:07]     ... D running: 961s, GPU 96%
[02:08:07]     ... D running: 1021s, GPU 96%
[02:09:07]     ... D running: 1081s, GPU 96%
[02:10:07]     ... D running: 1141s, GPU 96%
[02:11:07]     ... D running: 1201s, GPU 96%
[02:12:07]     ... D running: 1261s, GPU 96%
[02:13:07]     ... D running: 1321s, GPU 96%
[02:14:07]     ... D running: 1381s, GPU 96%
[02:15:07]     ... D running: 1441s, GPU 96%
[02:16:07]     ... D running: 1501s, GPU 96%
[02:17:07]     ... D running: 1561s, GPU 96%
[02:18:07]     ... D running: 1621s, GPU 96%
[02:19:07]     ... D running: 1681s, GPU 96%
[02:20:07]     ... D running: 1741s, GPU 96%
[02:21:07]     ... D running: 1801s, GPU 96%
[02:22:07]     ... D running: 1861s, GPU 96%
[02:23:08]     ... D running: 1922s, GPU 96%
[02:24:08]     ... D running: 1982s, GPU 96%
[02:25:08]     ... D running: 2042s, GPU 96%
[02:26:08]     ... D running: 2102s, GPU 96%
[02:27:08]     ... D running: 2162s, GPU 96%
[02:28:08]     ... D running: 2222s, GPU 96%
[02:29:08]     ... D running: 2282s, GPU 96%
[02:30:08]     ... D running: 2342s, GPU 96%
[02:31:08]     ... D running: 2402s, GPU 96%
[02:32:08]     ... D running: 2462s, GPU 96%
[02:33:08]     ... D running: 2522s, GPU 96%
[02:34:08]     ... D running: 2582s, GPU 96%
[02:35:08]     ... D running: 2642s, GPU 96%
[02:36:08]     ... D running: 2702s, GPU 96%
[02:37:08]     ... D running: 2762s, GPU 96%
[02:38:08]     ... D running: 2822s, GPU 96%
[02:39:08]     ... D running: 2882s, GPU 0%
[02:39:16] ── END D (2890s) ──
[02:39:16] ── START E ──
[02:40:17]     ... E running: 61s, GPU 96%
[02:41:17]     ... E running: 121s, GPU 96%
[02:42:17]     ... E running: 181s, GPU 96%
[02:43:17]     ... E running: 241s, GPU 96%
[02:44:17]     ... E running: 301s, GPU 96%
[02:45:17]     ... E running: 361s, GPU 96%
[02:46:17]     ... E running: 421s, GPU 96%
[02:47:17]     ... E running: 481s, GPU 96%
[02:48:17]     ... E running: 541s, GPU 96%
[02:49:17]     ... E running: 601s, GPU 96%
[02:50:17]     ... E running: 661s, GPU 96%
[02:51:17]     ... E running: 721s, GPU 96%
[02:52:17]     ... E running: 781s, GPU 96%
[02:53:17]     ... E running: 841s, GPU 96%
[02:54:17]     ... E running: 901s, GPU 96%
[02:55:17]     ... E running: 961s, GPU 96%
[02:56:17]     ... E running: 1021s, GPU 96%
[02:57:18]     ... E running: 1082s, GPU 96%
[02:58:18]     ... E running: 1142s, GPU 96%
[02:59:18]     ... E running: 1202s, GPU 96%
